model_name,base_clock,turbo_clock,NBS_score
Intel Core 2 Duo SP9600,0 GHz,0 GHz,0 / 10
Intel Core 2 Duo SU2300,0 GHz,0 GHz,0 / 10
Intel Core 2 Duo SU2700,0 GHz,0 GHz,0 / 10
Intel Core 2 Duo SU3500,0 GHz,0 GHz,0 / 10
Intel Celeron 1007U,1.5 GHz,0 GHz,0 / 10
Intel Core 2 Duo SU7300,0 GHz,0 GHz,0 / 10
Intel Celeron 4205U,1.8 GHz,0 GHz,0 / 10
Intel Core 2 Duo SU9300,0 GHz,0 GHz,0 / 10
Intel Core 2 Duo SU9400,0 GHz,0 GHz,0 / 10
AMD A4-1250,1 GHz,GHz,0 / 10
Intel Core 2 Duo SU9600,0 GHz,0 GHz,0 / 10
Intel Core 2 Duo T5200,0 GHz,0 GHz,0 / 10
Intel Core 2 Duo T5250,0 GHz,0 GHz,0 / 10
Intel Core 2 Duo T5270,0 GHz,0 GHz,0 / 10
Intel Core 2 Duo T5300,0 GHz,0 GHz,0 / 10
Intel Pentium 2127U,1.9 GHz,0 GHz,0 / 10
Intel Core 2 Duo T5450,0 GHz,0 GHz,0 / 10
Intel Celeron 1017U,1.6 GHz,0 GHz,0 / 10
Intel Core 2 Duo T5470,0 GHz,0 GHz,0 / 10
Intel Core 2 Duo T5500,0 GHz,0 GHz,0 / 10
Intel Celeron 1005M,1.9 GHz,0 GHz,0 / 10
Intel Core 2 Duo T5550,0 GHz,0 GHz,0 / 10
Intel Core 2 Duo T5600,0 GHz,0 GHz,0 / 10
Quad-Core,1.4 GHz,1.4 GHz,0 / 10
Intel Core 2 Duo T5670,0 GHz,0 GHz,0 / 10
AMD A4-5000,1.5 GHz,0 GHz,0 / 10
Intel Core 2 Duo T5750,0 GHz,0 GHz,0 / 10
AMD E1-2100,1 GHz,0 GHz,0 / 10
Intel Core 2 Duo T5800,0 GHz,0 GHz,0 / 10
Intel Celeron 5205U,1.9 GHz,0 GHz,0 / 10
Intel Core 2 Duo T5850,0 GHz,0 GHz,0 / 10
Intel Core 2 Duo T5870,0 GHz,0 GHz,0 / 10
Intel Core 2 Duo T5900,0 GHz,0 GHz,0 / 10
Intel Core 2 Duo T6400,0 GHz,0 GHz,0 / 10
Intel Core 2 Duo T6500,0 GHz,0 GHz,0 / 10
Intel Core 2 Duo T6570,0 GHz,0 GHz,0 / 10
AMD A6-1450,1 GHz,1.4 GHz,0 / 10
Intel Core 2 Duo T6600,0 GHz,0 GHz,0 / 10
AMD A4-1200,1 GHz,0 GHz,0 / 10
Intel Core 2 Duo T6670,0 GHz,0 GHz,0 / 10
Intel Celeron 2955U,1.4 GHz,0 GHz,0 / 10
Intel Core 2 Duo T7100,0 GHz,0 GHz,0 / 10
AMD E1-1500,1.48 GHz,0 GHz,0 / 10
Intel Core 2 Duo T7200,0 GHz,0 GHz,0 / 10
Intel Core 2 Duo T7250,0 GHz,0 GHz,0 / 10
Intel Core 2 Duo T7300,0 GHz,0 GHz,0 / 10
Intel Core 2 Duo T7300,0 GHz,0 GHz,0 / 10
Intel Core 2 Duo P7350,0 GHz,0 GHz,0 / 10
Intel Core 2 Duo T7400,0 GHz,0 GHz,0 / 10
Intel Core 2 Duo T7500,0 GHz,0 GHz,0 / 10
Intel Atom Z3740,1.33 GHz,GHz,0 / 10
Intel Core 2 Duo T7700,0 GHz,0 GHz,0 / 10
Intel Core 2 Duo T8100,0 GHz,0 GHz,0 / 10
Intel Cerelon N2820,2.4 GHz,0 GHz,0 / 10
Intel Core 2 Duo T8300,0 GHz,0 GHz,0 / 10
Intel Celeron N2805,1.46 GHz,0 GHz,0 / 10
Intel Core 2 Duo T8700,0 GHz,0 GHz,0 / 10
Intel Core 2 Duo T9300,0 GHz,0 GHz,0 / 10
Intel Core 2 Duo T9400,0 GHz,0 GHz,0 / 10
Intel Core 2 Duo T9550,0 GHz,0 GHz,0 / 10
Intel Celeron 2950M,2 GHz,0 GHz,0 / 10
Intel Core 2 Duo U7500,0 GHz,0 GHz,0 / 10
Intel Celeron N2815,1.86 GHz,2.13 GHz,0 / 10
Intel Core 2 Duo U7600,0 GHz,0 GHz,0 / 10
AMD A4-5150M,2.7 GHz,3.3 GHz,0 / 10
Intel Core 2 Duo U7700,0 GHz,0 GHz,0 / 10
Intel Core 2 Duo U7500,0 GHz,0 GHz,0 / 10
Intel Core i5-4202Y,1.6 GHz,2 GHz,0 / 10
Intel Celeron 2957U,1.4 GHz,0 GHz,0 / 10
Intel Core Duo L2300,0 GHz,0 GHz,0 / 10
Intel Pentium 3558U,1.7 GHz,0 GHz,0 / 10
Intel Core Duo L2400,0 GHz,0 GHz,0 / 10
Intel Celeron Dual-Core T1400,0 GHz,0 GHz,0 / 10
Intel Celeron Dual-Core T1600,0 GHz,0 GHz,0 / 10
Intel Core Duo T2050,0 GHz,0 GHz,0 / 10
Intel Core Duo T2060,0 GHz,0 GHz,0 / 10
Intel Core Duo T2080,0 GHz,0 GHz,0 / 10
Intel Core Duo T2130,0 GHz,0 GHz,0 / 10
Intel Pentium 3556U,1.7 GHz,0 GHz,0 / 10
Intel Core Duo T2250,0 GHz,0 GHz,0 / 10
Intel Core Duo T2300,0 GHz,0 GHz,0 / 10
AMD E1-6010,1.35 GHz,0 GHz,0 / 10
Intel Core Duo T2300E,0 GHz,0 GHz,0 / 10
Intel Core Duo T2310,0 GHz,0 GHz,0 / 10
Intel Celeron 6205,1.7 GHz,0 GHz,0 / 10
Intel Core Duo T2330,0 GHz,0 GHz,0 / 10
Intel Celeron 6305,1.8 GHz,0 GHz,0 / 10
Intel Core Duo T2350,0 GHz,0 GHz,0 / 10
Intel Core Duo T2370,0 GHz,0 GHz,0 / 10
Intel Core Duo T2390,0 GHz,0 GHz,0 / 10
Intel Core Duo T2400,0 GHz,0 GHz,0 / 10
Intel Core Duo T2410,0 GHz,0 GHz,0 / 10
Intel Core Duo T2450,GHz,GHz,0 / 10
Intel Core Duo T2500,0 GHz,0 GHz,0 / 10
Intel Core Duo T2600,0 GHz,0 GHz,0 / 10
Intel Atom Z3745,1.33 GHz,1.86 GHz,0 / 10
Intel Core Duo T2700,0 GHz,0 GHz,0 / 10
Intel Atom Z3775,1.46 GHz,2.39 GHz,0 / 10
Intel Core Duo T3200,0 GHz,0 GHz,0 / 10
Intel Core Duo T3400,0 GHz,0 GHz,0 / 10
Intel Core Duo T4200,0 GHz,0 GHz,0 / 10
Intel Core Duo T4300,0 GHz,0 GHz,0 / 10
Intel Pentium Dual Core T4400,0 GHz,0 GHz,0 / 10
Intel Core Duo T4500,0 GHz,0 GHz,0 / 10
Intel Core Duo U2500,0 GHz,0 GHz,0 / 10
Intel Core i3-330M,2.13 GHz,0 GHz,0 / 10
Intel Pentium 3550M,2.3 GHz,0 GHz,0 / 10
Intel Core i3-350M,2.26 GHz,0 GHz,0 / 10
Intel Celeron N2807,1.58 GHz,2.16 GHz,0 / 10
Intel Core i3-380UM,1.33 GHz,0 GHz,0 / 10
Intel Celeron 1037U,1.8 GHz,0 GHz,0 / 10
Intel Core i5-430UM,1.2 GHz,1.73 GHz,0 / 10
AMD E1-2500,1.4 GHz,0 GHz,0 / 10
AMD A6-5350M,2.9 GHz,3.5 GHz,0 / 10
Intel Core i5-520UM,1.06 GHz,1.86 GHz,0 / 10
Intel Celeron N4500,1.1 GHz,2.8 GHz,0 / 10
Intel Core i7-620LM,0 GHz,0 GHz,0 / 10
Intel Core M-5Y70,1.1 GHz,2.6 GHz,0 / 10
Intel Core i7-620UM,0 GHz,0 GHz,0 / 10
Intel Celeron N2806,1.6 GHz,2 GHz,0 / 10
Intel Core i7-640LM,0 GHz,0 GHz,0 / 10
Intel Core i3-4012Y,1.5 GHz,0 GHz,0 / 10
Intel Core i7-640UM,1.2 GHz,2.26 GHz,0 / 10
Intel Core M-5Y10,0.8 GHz,2 GHz,0 / 10
Intel Core Solo,0 GHz,0 GHz,0 / 10
Intel Core Solo,0 GHz,0 GHz,0 / 10
Intel Core Solo T1300,0 GHz,0 GHz,0 / 10
Intel Core Solo T1350,0 GHz,0 GHz,0 / 10
Intel Core Solo U1300,0 GHz,0 GHz,0 / 10
Intel Core Solo U1400,0 GHz,0 GHz,0 / 10
Intel Dothan Celeron M 535,0 GHz,0 GHz,0 / 10
AMD A6-7050B,2.2 GHz,3 GHz,0 / 10
Intel Pentium P6100,2 GHz,0 GHz,0 / 10
Intel Core M-5Y71,1.2 GHz,2.9 GHz,0 / 10
Intel Pentium P6000,1.86 GHz,0 GHz,0 / 10
Intel Pentium P6000,0 GHz,0 GHz,0 / 10
Intel Pentium P6000,0 GHz,0 GHz,0 / 10
Intel Celeron 3205U,1.5 GHz,0 GHz,0 / 10
Intel Pentium Dual Core SU4100,0 GHz,0 GHz,0 / 10
Intel Core M-5Y31,0.9 GHz,2.4 GHz,0 / 10
Intel Pentium Dual Core T4500,0 GHz,0 GHz,0 / 10
Intel Core M-5Y51,1.1 GHz,2.6 GHz,0 / 10
Intel Pentium U5400,1.2 GHz,0 GHz,0 / 10
Intel Celeron M 575,0 GHz,0 GHz,0 / 10
Intel Celeron N3050,1.6 GHz,2.16 GHz,0 / 10
Intel Pentium M 730,0 GHz,0 GHz,0 / 10
AMD E1-6015,1.4 GHz,0 GHz,0 / 10
Intel Pentium M 735,0 GHz,0 GHz,0 / 10
Intel Pentium M 740,0 GHz,0 GHz,0 / 10
Intel Pentium M 745,0 GHz,0 GHz,0 / 10
Intel Pentium M 745,0 GHz,0 GHz,0 / 10
Intel Pentium M 750,0 GHz,0 GHz,0 / 10
